
[Batch0]-[Total_loss:2.119674]-[Dloss:-,Dloss2:-]-[mse:0.208875, loss_GAN1:0.678810, loss_GAN2:0.674219]
[Batch1000]-[Total_loss:1.799154]-[Dloss:-,Dloss2:-]-[mse:0.165008, loss_GAN1:0.678606, loss_GAN2:0.669893]
[Batch2000]-[Total_loss:1.786003]-[Dloss:-,Dloss2:-]-[mse:0.151932, loss_GAN1:0.675682, loss_GAN2:0.671054]
[Batch3000]-[Total_loss:1.795921]-[Dloss:-,Dloss2:-]-[mse:0.148844, loss_GAN1:0.676463, loss_GAN2:0.670186]
[Batch4000]-[Total_loss:1.647005]-[Dloss:-,Dloss2:-]-[mse:0.130518, loss_GAN1:0.675924, loss_GAN2:0.670790]
[Batch5000]-[Total_loss:1.518787]-[Dloss:-,Dloss2:-]-[mse:0.129692, loss_GAN1:0.675237, loss_GAN2:0.673352]
[Batch6000]-[Total_loss:1.447590]-[Dloss:-,Dloss2:-]-[mse:0.101611, loss_GAN1:0.675136, loss_GAN2:0.674117]
[Batch7000]-[Total_loss:1.376854]-[Dloss:-,Dloss2:-]-[mse:0.107532, loss_GAN1:0.673639, loss_GAN2:0.673660]
[Batch8000]-[Total_loss:1.414595]-[Dloss:-,Dloss2:-]-[mse:0.105694, loss_GAN1:0.677608, loss_GAN2:0.672982]
[Batch9000]-[Total_loss:1.394771]-[Dloss:-,Dloss2:-]-[mse:0.102740, loss_GAN1:0.676989, loss_GAN2:0.673319]
[Batch10000]-[Total_loss:1.512899]-[Dloss:-,Dloss2:-]-[mse:0.112098, loss_GAN1:0.674599, loss_GAN2:0.676129]
[Batch11000]-[Total_loss:1.435771]-[Dloss:-,Dloss2:-]-[mse:0.105349, loss_GAN1:0.674441, loss_GAN2:0.674393]
[Batch12000]-[Total_loss:1.387902]-[Dloss:-,Dloss2:-]-[mse:0.105541, loss_GAN1:0.673758, loss_GAN2:0.673337]
[Batch13000]-[Total_loss:1.472153]-[Dloss:-,Dloss2:-]-[mse:0.108401, loss_GAN1:0.674949, loss_GAN2:0.673385]
[Batch14000]-[Total_loss:1.434868]-[Dloss:-,Dloss2:-]-[mse:0.095673, loss_GAN1:0.676279, loss_GAN2:0.674661]
[Batch15000]-[Total_loss:1.366371]-[Dloss:-,Dloss2:-]-[mse:0.100764, loss_GAN1:0.674057, loss_GAN2:0.673105]
[Batch16000]-[Total_loss:1.429385]-[Dloss:-,Dloss2:-]-[mse:0.105987, loss_GAN1:0.675003, loss_GAN2:0.675315]
[Batch17000]-[Total_loss:1.514197]-[Dloss:-,Dloss2:-]-[mse:0.110052, loss_GAN1:0.674964, loss_GAN2:0.676186]
[Batch18000]-[Total_loss:1.553687]-[Dloss:-,Dloss2:-]-[mse:0.117381, loss_GAN1:0.676574, loss_GAN2:0.673879]
[Batch19000]-[Total_loss:1.485713]-[Dloss:-,Dloss2:-]-[mse:0.108747, loss_GAN1:0.674610, loss_GAN2:0.671845]
[Batch0]-[Total_loss:1.498931]-[Dloss:-,Dloss2:-]-[mse:0.185038, loss_GAN1:0.788964, loss_GAN2:0.702325]
[Batch0]-[Total_loss:1.698235]-[Dloss:-,Dloss2:-]-[mse:0.165735, loss_GAN1:0.744644, loss_GAN2:0.749663]
[Batch0]-[Total_loss:1.880624]-[Dloss:-,Dloss2:-]-[mse:0.180794, loss_GAN1:0.789769, loss_GAN2:0.749371]
[Batch0]-[Total_loss:3.201686]-[Dloss:-,Dloss2:-]-[mse:0.383403, loss_GAN1:0.704463, loss_GAN2:0.625995]
[Batch1000]-[Total_loss:0.772585]-[Dloss:-,Dloss2:-]-[mse:0.027424, loss_GAN1:0.704335, loss_GAN2:0.623461]
[Batch2000]-[Total_loss:1.021058]-[Dloss:-,Dloss2:-]-[mse:0.031478, loss_GAN1:0.704280, loss_GAN2:0.621687]
[Batch3000]-[Total_loss:1.012628]-[Dloss:-,Dloss2:-]-[mse:0.026908, loss_GAN1:0.704503, loss_GAN2:0.624090]
[Batch4000]-[Total_loss:0.323695]-[Dloss:-,Dloss2:-]-[mse:0.012314, loss_GAN1:0.704186, loss_GAN2:0.623946]
[Batch5000]-[Total_loss:0.594273]-[Dloss:-,Dloss2:-]-[mse:0.029155, loss_GAN1:0.704919, loss_GAN2:0.628571]
[Batch6000]-[Total_loss:0.506616]-[Dloss:-,Dloss2:-]-[mse:0.042007, loss_GAN1:0.704319, loss_GAN2:0.622051]
[Batch7000]-[Total_loss:0.537714]-[Dloss:-,Dloss2:-]-[mse:0.011146, loss_GAN1:0.700801, loss_GAN2:0.624492]
[Batch8000]-[Total_loss:0.770137]-[Dloss:-,Dloss2:-]-[mse:0.042353, loss_GAN1:0.704325, loss_GAN2:0.627509]
[Batch9000]-[Total_loss:0.381027]-[Dloss:-,Dloss2:-]-[mse:0.017367, loss_GAN1:0.702110, loss_GAN2:0.623228]
[Batch10000]-[Total_loss:0.453109]-[Dloss:-,Dloss2:-]-[mse:0.036250, loss_GAN1:0.703931, loss_GAN2:0.622648]
[Batch11000]-[Total_loss:0.665564]-[Dloss:-,Dloss2:-]-[mse:0.013751, loss_GAN1:0.704510, loss_GAN2:0.626112]
[Batch12000]-[Total_loss:0.555982]-[Dloss:-,Dloss2:-]-[mse:0.025889, loss_GAN1:0.704453, loss_GAN2:0.624131]
[Batch13000]-[Total_loss:0.594860]-[Dloss:-,Dloss2:-]-[mse:0.018461, loss_GAN1:0.704100, loss_GAN2:0.622723]
[Batch14000]-[Total_loss:0.344456]-[Dloss:-,Dloss2:-]-[mse:0.016820, loss_GAN1:0.703359, loss_GAN2:0.624120]
[Batch15000]-[Total_loss:0.466648]-[Dloss:-,Dloss2:-]-[mse:0.017106, loss_GAN1:0.703938, loss_GAN2:0.623889]
[Batch16000]-[Total_loss:0.540275]-[Dloss:-,Dloss2:-]-[mse:0.016132, loss_GAN1:0.705301, loss_GAN2:0.626084]
[Batch0]-[Total_loss:2.506806]-[Dloss:-,Dloss2:-]-[mse:0.278325, loss_GAN1:0.747242, loss_GAN2:0.643147]
[Batch1000]-[Total_loss:0.562154]-[Dloss:-,Dloss2:-]-[mse:0.014966, loss_GAN1:0.754559, loss_GAN2:0.637928]
[Batch2000]-[Total_loss:0.456206]-[Dloss:-,Dloss2:-]-[mse:0.016299, loss_GAN1:0.745244, loss_GAN2:0.637919]
[Batch3000]-[Total_loss:0.497383]-[Dloss:-,Dloss2:-]-[mse:0.014386, loss_GAN1:0.746130, loss_GAN2:0.637682]
[Batch4000]-[Total_loss:0.519574]-[Dloss:-,Dloss2:-]-[mse:0.010537, loss_GAN1:0.745106, loss_GAN2:0.638988]
[Batch5000]-[Total_loss:0.382579]-[Dloss:-,Dloss2:-]-[mse:0.010012, loss_GAN1:0.746320, loss_GAN2:0.639535]
[Batch6000]-[Total_loss:0.464367]-[Dloss:-,Dloss2:-]-[mse:0.016991, loss_GAN1:0.743821, loss_GAN2:0.642881]
[Batch7000]-[Total_loss:0.492984]-[Dloss:-,Dloss2:-]-[mse:0.010581, loss_GAN1:0.741934, loss_GAN2:0.642575]
[Batch8000]-[Total_loss:0.502311]-[Dloss:-,Dloss2:-]-[mse:0.009049, loss_GAN1:0.749511, loss_GAN2:0.638719]
[Batch9000]-[Total_loss:0.491063]-[Dloss:-,Dloss2:-]-[mse:0.013492, loss_GAN1:0.746070, loss_GAN2:0.638512]
